,thres_ref,indiff_threshold_00,indiff_threshold_01,indiff_threshold_02,indiff_threshold_03,indiff_threshold_04,indiff_threshold_05,indiff_threshold_06,indiff_threshold_07,indiff_threshold_08,indiff_threshold_09,indiff_threshold_10
Beijing,2,5,3,2,2,2,2,2,2,2,1,1
Tianjin,29,39,39,39,39,38,38,38,37,36,36,35
Shijiazhuang,33,38,38,37,37,35,36,35,35,31,30,30
Qinhuangdao,27,31,31,31,30,28,28,26,25,25,24,21
Baoding,36,36,35.5,34,34,34,33,32,33,34,33,32
Taiyuan,40,40,40,40,40,40,40,40,39,39,39,39
Hohhot,13,24,24,21,18,18,16,12,11,11,10,9
Shenyang,31,37,37,38,36,36,35,33,34,35,35,34
Dalian,9,25,25,25,22,17,18,15,13,12,12,11
Changchun,28,35,33,33,32,33,34,34,32,33,32,33
Harbin,18,30,30,29,27,27,27,28,27,28,27,27
Shanghai,32,29,29,30,28,30,29,29,28,26,26,26
Nanjing,34,32,32,32,33,32,31,31,31,32,34,31
Suzhou,25,28,28,28,29,29,30,30,29,29,29,28
Zhenjiang,35,34,34,35,35,37,37,37,38,38,37,37
Hangzhou,12,19,18,15,15,15,17,17,15,13,13,12
Ningbo,15,23,22,20,20,19,19,19,18,18,18,17
Wenzhou,17,20,17,16,16,16,15,16,14,14,14,14
Hefei,21,26,26,26,26,24,23,24,24,24,22,23
Fuzhou,4,11,9,8,7,7,7,7,6,6,6,6
Xiamen,3,6,6,4,3,3,3,3,3,3,3,3
Nanchang,19,22,23,24,24,23,24,22,22,22,21,20
Jinan,14,21,19,19,21,22,22,21,21,19,19,19
Qingdao,6,14,14,14,14,13,13,14,17,16,16,16
Zhengzhou,22,15,15,17,17,20,20,20,20,21,20,22
Wuhan,26,16,16,18,19,21,21,23,23,23,25,24
Changsha,20,13,13,12,12,12,12,13,12,15,15,15
Guangzhou,11,4,5,6,5,4,4,4,4,4,4,4
Shenzhen,1,1,1,1,1,1,1,1,1,1,2,2
Nanning,30,18,20,22,23,25,25,25,26,27,28,29
Guilin,39,27,27,27,31,31,32,36,36,37,38,38
Haikou,7,10,10,10,10,10,10,9,9,9,9,10
Chongqing,38,33,35.5,36,38,39,39,39,40,40,40,40
Chengdu,8,3,4,5,6,6,5,5,5,5,5,5
Guiyang,10,8,8,9,9,9,9,10,10,10,11,13
Zunyi,37,17,21,23,25,26,26,27,30,30,31,36
Kunming,5,7,7,7,8,8,8,8,8,8,8,8
Xian,24,12,12,13,13,14,14,18,19,20,23,25
Lanzhou,23,9,11,11,11,11,11,11,16,17,17,18
Urumqi,16,2,2,3,4,5,6,6,7,7,7,7
