,thres_ref,indiff_threshold_00,indiff_threshold_01,indiff_threshold_02,indiff_threshold_03,indiff_threshold_04,indiff_threshold_05,indiff_threshold_06,indiff_threshold_07,indiff_threshold_08,indiff_threshold_09,indiff_threshold_10
Beijing,2,16,12,11,9,9,8,7,7,6,5,5
Tianjin,29,40,39,39,39,39,39,39,39,39,39,39
Shijiazhuang,33,38,38,38,38,38,38,38,38,38,38,38
Qinhuangdao,27,35,35,35,35,35,35,35,34,33,31,31
Baoding,36,37,37,37,37,36,36,36,36,36,36,36
Taiyuan,40,39,40,40,40,40,40,40,40,40,40,40
Hohhot,13,27,27,26,26,26,26,25,24,24,24,24
Shenyang,31,36,36,36,36,37,37,37,37,37,37,37
Dalian,9,28,28,27,27,27,27,27,26,26,25,25
Changchun,28,34,34,34,34,34,34,34,35,35,35,35
Harbin,18,32,31,31,31,31,30,30,30,30,30,30
Shanghai,32,30,30,30,30,29,29,29,29,29,29,29
Nanjing,34,33,32,32,32,32,32,32,31,31,32,32
Suzhou,25,29,29,29,28,28,28,28,28,28,28,28
Zhenjiang,35,31,33,33,33,33,33,33,33,34,34,34
Hangzhou,12,23,23,21,20,21,21,21,21,18,19,19
Ningbo,15,24,24,23,23,23,23,23,23,23,23,23
Wenzhou,17,22,20,20,21,20,20,19,20,21,21,20
Hefei,21,26,25,25,25,24,24,24,25,25,26,26
Fuzhou,4,13,13,12,12,12,12,12,12,11,11,11
Xiamen,3,10,9,7,7,6,6,6,5,5,6,6
Nanchang,19,21,21,22,22,22,22,22,22,22,22,22
Jinan,14,19,19,19,19,19,19,18,18,19,20,21
Qingdao,6,14,15,15,15,14,14,14,14,14,14,14
Zhengzhou,22,18,18,17,17,16,17,17,17,17,16,15
Wuhan,26,17,16,16,16,17,16,16,15,15,17,16
Changsha,20,11,11,13,13,13,13,13,13,13,13,13
Guangzhou,11,4,4,4,4,4,4,4,4,4,4,4
Shenzhen,1,2,2,1,1,1,1,1,1,1,1,1
Nanning,30,15,17,18,18,18,18,20,19,20,18,18
Guilin,39,20,22,24,24,25,25,26,27,27,27,27
Haikou,7,9,10,9,10,10,10,10,10,10,10,10
Chongqing,38,25,26,28,29,30,31,31,32,32,33,33
Chengdu,8,3,3,3,3,3,3,3,3,3,3,3
Guiyang,10,8,7,8,8,8,9,9,8,8,8,8
Zunyi,37,12,14,14,14,15,15,15,16,16,15,17
Kunming,5,6,5,5,5,5,5,5,6,7,7,7
Xian,24,7,8,10,11,11,11,11,11,12,12,12
Lanzhou,23,5,6,6,6,7,7,8,9,9,9,9
Urumqi,16,1,1,2,2,2,2,2,2,2,2,2
