City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt
Beijing,0.8936341659951653,1.0,0.5549203621703788,1.0,0.46629398224268326,0.8495158873273366,0.5177056827820186,1.0,0.8475623273677211,0.3284132841328413,0.8046887375257405,0.598265895953757,0.5795806614309389,0.15914145907473312,0.1064486850261224
Tianjin,0.8170829975825948,0.49833518312985575,0.39296807877866624,0.30017408604824675,0.1606379480434068,0.8976543651623097,0.4179389312977099,0.21428571428571416,0.8295696251070995,0.35424354243542433,0.98273404086805,1.0,0.5553714244542115,0.09964412811387902,0.04195011485511587
Shijiazhuang,0.5995165189363417,0.5618201997780243,0.3563214592558323,0.44889331012186023,0.27836238079579084,0.9633151355621764,0.7812765055131469,0.17499999999999993,0.6910983157680303,0.06642066420664207,0.9223823855536194,0.8800578034682079,0.3806470206787233,0.08040480427046262,0.049463553685000085
Qinhuangdao,0.6599516518936343,0.5582685904550498,0.4589584297138324,0.672469534941557,1.0,0.811938257477796,0.8791878710771841,0.26071428571428557,0.7056878029490536,0.5904059040590406,0.4455884682401394,0.953179190751445,1.0,0.051712633451957285,0.026324545137279214
Baoding,0.6518936341659952,0.5671476137624861,0.4134558191791685,0.0,0.13877014140085506,0.9508022489185848,1.0,0.0285714285714286,0.3797720405110415,0.0,0.7814034531918265,0.7511560693641618,0.45550832192521085,0.18616548042704628,0.03529971715951057
Taiyuan,0.4101531023368252,0.0,0.0,0.5642874906739618,0.20914172969417963,0.8624043022790316,0.8443596268023751,0.24999999999999992,0.6714040059676095,0.4354243542435424,0.2911452558213211,0.5910404624277454,0.5825347647525038,0.06928380782918149,0.04089922961126362
Hohhot,0.8170829975825948,0.13940066592674805,0.6448351067345186,0.9915443919423031,0.13515291022689913,0.9576219847025356,0.7672815945716709,0.18214285714285708,0.9307473691989063,0.5940959409594095,0.043877712656423304,0.4514450867052021,0.573456300886231,0.1804937722419929,0.07987411514681142
Shenyang,0.9580983078162771,0.3758046614872364,0.45274601810851883,0.32827654812235774,0.1599802696481421,0.9104046140383818,0.4945928753180662,0.3821428571428571,0.7502990794942311,0.4095940959409594,0.8447647711072391,0.8554913294797688,0.5825347647525038,0.06783807829181496,0.05368565118423178
Dalian,0.8654311039484287,0.6812430632630411,0.7314453770405128,0.16115394180552114,0.20930614929299576,0.9175538227718947,0.6557994062765055,0.4178571428571427,0.8176304116412325,0.7269372693726938,0.7411690163155393,0.6335260115606934,0.4496721665826069,0.13890124555160144,0.094856066485746
Changchun,0.8424657534246576,0.28124306326304105,0.4868151477099992,0.08405869186769468,0.11131206839855315,0.9562332385065309,0.8517811704834606,0.12499999999999988,0.9017820943753083,0.5904059040590406,0.9987327736416918,0.7109826589595375,0.5710065566683479,0.09486209964412813,0.04759976247649507
