,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt
Chongqing,0.954,0.458,0.418,0.284,0.147,0.954,0.323,0.214,0.923,0.616,0.754,0.776,0.577,0.000,0.015
Hohhot,0.817,0.139,0.645,0.992,0.135,0.958,0.767,0.182,0.931,0.594,0.044,0.451,0.573,0.180,0.080
Shenyang,0.958,0.376,0.453,0.328,0.160,0.910,0.495,0.382142857,0.750,0.410,0.845,0.855,0.583,0.068,0.054
Changchun,0.842,0.281,0.487,0.084,0.111,0.956,0.852,0.125,0.902,0.590,0.999,0.711,0.571,0.095,0.048
Harbin,0.942,0.452,0.541,0.571,0.056,0.950,0.413,0.143,0.921,0.598,0.969,0.691,0.482,0.098,0.070
