City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.7375,0.80625,0.6000000000000001,0.70625,0.80625,0.61875,0.70625,0.525,0.68125,0.70625,0.75625,0.74375,0.74375,0.74375,0.61875,0.64375,0.70625,0.725,0.58125,0.48125,0.73125,0.7375,0.6375,0.675,0.73125,0.5875,0.60625,0.50625,0.73125,0.7625,0.6125,0.7625,0.50625,0.7,0.79375,0.65,0.675,0.73125,0.51875,26.293750000000003,1.0
Tianjin,0.26249999999999996,0.0,0.48124999999999996,0.5125,0.5562499999999999,0.6375,0.35,0.56875,0.3,0.5875,0.42500000000000004,0.50625,0.425,0.5125,0.54375,0.29374999999999996,0.44375,0.46875,0.32499999999999996,0.31875,0.25625,0.43124999999999997,0.41874999999999996,0.2875,0.4125,0.46249999999999997,0.3125,0.34375,0.2875,0.475,0.58125,0.44375,0.625,0.33749999999999997,0.34375,0.5,0.35624999999999996,0.4125,0.4375,0.375,16.61875,31.0
Shijiazhuang,0.19374999999999998,0.51875,0.0,0.5125,0.58125,0.53125,0.34375,0.49375,0.3375,0.46249999999999997,0.36875,0.38749999999999996,0.5625,0.5375,0.65,0.34375,0.4625,0.4,0.3375,0.30625,0.30625,0.39375000000000004,0.4,0.30625,0.425,0.38749999999999996,0.33749999999999997,0.3625,0.33125,0.44375,0.51875,0.46875,0.5875,0.30625,0.30625,0.5,0.35,0.4,0.43125,0.3375,16.23125,32.0
Qinhuangdao,0.3999999999999999,0.48750000000000004,0.48750000000000004,0.0,0.58125,0.6812500000000001,0.46249999999999997,0.525,0.36875,0.51875,0.45625,0.41875,0.53125,0.525,0.65,0.4,0.525,0.4,0.4625,0.36875,0.43125,0.48125,0.4625,0.4,0.4875,0.51875,0.4625,0.39375,0.425,0.4625,0.60625,0.4,0.5875,0.4,0.36875,0.46875,0.5,0.48750000000000004,0.43125,0.4875,18.512500000000003,24.0
Baoding,0.29374999999999996,0.4437500000000001,0.41874999999999996,0.41874999999999996,0.0,0.575,0.4125,0.4125,0.35625,0.5375,0.40625,0.4625,0.48125,0.56875,0.63125,0.44375,0.5,0.40625,0.35625,0.3875,0.31875,0.4375,0.475,0.325,0.43124999999999997,0.49375,0.46249999999999997,0.34375,0.2875,0.45,0.4125,0.45,0.50625,0.36875,0.38125,0.46875,0.4125,0.4125,0.46875,0.44375,16.862499999999997,30.0
Taiyuan,0.19374999999999998,0.36250000000000004,0.46875,0.31874999999999987,0.42500000000000004,0.0,0.275,0.4,0.24999999999999997,0.3375,0.26875,0.38749999999999996,0.38125,0.5,0.4625,0.30625,0.4,0.3375,0.3125,0.1875,0.275,0.3,0.24375,0.1875,0.39375,0.275,0.25,0.20625000000000002,0.2125,0.38125,0.35624999999999996,0.25625,0.49375,0.275,0.30625,0.375,0.34375,0.3,0.36875,0.275,12.65,40.0
Hohhot,0.38125,0.65,0.65625,0.5375000000000001,0.5875,0.725,0.0,0.625,0.35624999999999996,0.59375,0.55,0.60625,0.6375,0.6,0.6000000000000001,0.5375,0.5,0.53125,0.53125,0.35,0.34375,0.51875,0.625,0.5062500000000001,0.5249999999999999,0.6125,0.61875,0.425,0.3125,0.50625,0.65,0.44375,0.61875,0.39375,0.46875,0.5875,0.44375,0.50625,0.55625,0.55625,20.775,15.0
Shenyang,0.29374999999999996,0.43125,0.50625,0.475,0.5875,0.6,0.375,0.0,0.29374999999999996,0.4625,0.3625,0.50625,0.4875,0.44999999999999996,0.575,0.32499999999999996,0.44375,0.375,0.40625,0.25625,0.34375,0.3625,0.4125,0.28125,0.375,0.425,0.39999999999999997,0.3125,0.25625,0.4375,0.51875,0.40625,0.64375,0.3875,0.36875,0.49375,0.32499999999999996,0.3375,0.40625,0.36875,16.075,35.0
Dalian,0.475,0.7,0.6625,0.63125,0.64375,0.75,0.64375,0.70625,0.0,0.7125,0.7625,0.69375,0.66875,0.71875,0.71875,0.5625,0.59375,0.68125,0.68125,0.46875,0.39375000000000004,0.725,0.625,0.61875,0.6499999999999999,0.69375,0.64375,0.4875,0.3375,0.68125,0.7,0.53125,0.73125,0.45,0.6375,0.7375,0.4375,0.70625,0.61875,0.54375,24.425,5.0
Changchun,0.31875,0.4125,0.5375000000000001,0.48124999999999996,0.4625,0.6625,0.40625,0.5375,0.2875,0.0,0.425,0.48124999999999996,0.44999999999999996,0.5375,0.56875,0.34375,0.4375,0.40625,0.34375,0.25625,0.25625,0.3125,0.5,0.25625,0.43125,0.4875,0.30625,0.28125,0.28125,0.44375,0.5562499999999999,0.4125,0.56875,0.33125,0.34375,0.49375,0.31875,0.38125,0.4625,0.375,16.15625,34.0
Harbin,0.29374999999999996,0.575,0.63125,0.54375,0.59375,0.73125,0.44999999999999996,0.6375,0.23750000000000004,0.575,0.0,0.51875,0.58125,0.58125,0.6125,0.39375,0.45625,0.5125,0.475,0.32499999999999996,0.29374999999999996,0.475,0.51875,0.38125,0.48125,0.5625,0.41250000000000003,0.34375,0.31875,0.6,0.625,0.44999999999999996,0.60625,0.39999999999999997,0.4125,0.625,0.39375,0.4875,0.475,0.35624999999999996,18.94375,23.0
Shanghai,0.24375000000000002,0.49375,0.6125,0.58125,0.5375,0.6125,0.39375000000000004,0.49375,0.30625,0.51875,0.48124999999999996,0.0,0.525,0.61875,0.61875,0.45625,0.51875,0.425,0.41875,0.275,0.33125,0.3625,0.425,0.3625,0.50625,0.41875,0.3875,0.35625,0.38125000000000003,0.5125,0.56875,0.425,0.64375,0.40625,0.3625,0.6000000000000001,0.3375,0.425,0.5375000000000001,0.39375,17.875,26.0
Nanjing,0.25625,0.575,0.4375,0.46875,0.51875,0.61875,0.36250000000000004,0.5125,0.33125000000000004,0.55,0.41874999999999996,0.475,0.0,0.50625,0.59375,0.375,0.4625,0.4,0.44999999999999996,0.27499999999999997,0.35625,0.44999999999999996,0.43125,0.3625,0.4875,0.44375,0.3625,0.33125,0.30625,0.49375,0.5125,0.4375,0.66875,0.44375,0.38749999999999996,0.575,0.4,0.425,0.4,0.35625,17.21875,29.0
