City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.73125,0.7749999999999999,0.6875,0.6812499999999999,0.8,0.50625,0.73125,0.68125,0.625,0.6499999999999999,0.69375,0.74375,0.7125,0.71875,0.61875,0.5625,0.675,0.8125,0.60625,0.45,0.6625,0.74375,0.7,0.7375,0.78125,0.7,0.59375,0.49999999999999994,0.64375,0.79375,0.64375,0.6812499999999999,0.40624999999999994,0.7,0.8,0.53125,0.675,0.725,0.61875,26.099999999999998,2.0
Tianjin,0.26875000000000004,0.0,0.5625,0.50625,0.70625,0.60625,0.375,0.475,0.33125,0.46875,0.43125,0.59375,0.51875,0.4875,0.7000000000000001,0.31875,0.44375,0.28125,0.46249999999999997,0.31875,0.28125,0.46875,0.38125,0.225,0.53125,0.39999999999999997,0.36874999999999997,0.36875,0.34375,0.475,0.6,0.45625,0.68125,0.3875,0.4625,0.5625,0.33125,0.44375,0.5,0.2875,17.4125,29.0
Shijiazhuang,0.2250000000000001,0.4375,0.0,0.45,0.6125,0.6875,0.3125,0.525,0.3125,0.40625,0.33125,0.46875,0.4375,0.5,0.59375,0.3125,0.4375,0.39999999999999997,0.38749999999999996,0.30625,0.275,0.41874999999999996,0.28125,0.21875,0.44999999999999996,0.38749999999999996,0.30624999999999997,0.3,0.30000000000000004,0.5625,0.48125,0.5,0.625,0.35624999999999996,0.30625,0.5,0.43124999999999997,0.3375,0.51875,0.30000000000000004,16.0,34.0
Qinhuangdao,0.3125,0.49375,0.55,0.0,0.5249999999999999,0.6500000000000001,0.43125,0.46875,0.2875,0.4375,0.43124999999999997,0.38125,0.46875,0.6,0.6,0.4125,0.44375,0.34375,0.45625,0.375,0.3125,0.475,0.38125,0.38125,0.4875,0.54375,0.45625,0.425,0.425,0.375,0.45625,0.35,0.7124999999999999,0.48124999999999996,0.375,0.6,0.5,0.48750000000000004,0.49375,0.4875,17.875,26.0
Baoding,0.3187500000000001,0.29374999999999996,0.38749999999999996,0.4750000000000001,0.0,0.5375,0.35,0.325,0.325,0.34375,0.40625,0.35625,0.4125,0.48125,0.54375,0.31875,0.5,0.36875,0.31875,0.2875,0.225,0.31875,0.3125,0.2625,0.39999999999999997,0.39999999999999997,0.36875,0.38125,0.19374999999999998,0.35,0.4375,0.2625,0.50625,0.3375,0.3125,0.53125,0.41875,0.29375,0.5,0.36875,14.53125,37.0
Taiyuan,0.19999999999999996,0.39375000000000004,0.3125,0.34999999999999987,0.4625,0.0,0.30625,0.3125,0.25625,0.21875,0.24375000000000002,0.25625,0.44375,0.40625,0.44375,0.21875,0.40625,0.25,0.3375,0.15625,0.21875,0.31875,0.21875,0.19374999999999998,0.33125,0.35625,0.26875000000000004,0.23750000000000002,0.24375,0.35625,0.39375,0.31875,0.49375,0.29375,0.21875,0.40625,0.34375,0.33125,0.3125,0.33125,12.162500000000001,40.0
Hohhot,0.49375,0.625,0.6875,0.56875,0.65,0.69375,0.0,0.59375,0.40625,0.61875,0.66875,0.6875,0.65625,0.6,0.6312500000000001,0.5874999999999999,0.5875,0.6375,0.6499999999999999,0.46249999999999997,0.39999999999999997,0.5562499999999999,0.6499999999999999,0.5625,0.5249999999999999,0.6375,0.675,0.46249999999999997,0.33749999999999997,0.53125,0.69375,0.475,0.5375,0.48125,0.4625,0.5875,0.475,0.5,0.55,0.60625,22.2125,12.0
Shenyang,0.26875000000000004,0.525,0.475,0.53125,0.675,0.6875,0.40625,0.0,0.3625,0.5625,0.33125,0.53125,0.43125,0.45625,0.4875,0.35625,0.41874999999999996,0.39999999999999997,0.46249999999999997,0.25625,0.33125,0.45,0.38749999999999996,0.19375,0.375,0.475,0.25,0.4,0.3125,0.49375,0.6,0.425,0.70625,0.32499999999999996,0.3625,0.53125,0.33125,0.4125,0.3375,0.375,16.7,33.0
Dalian,0.31875,0.66875,0.6875,0.7125,0.675,0.74375,0.59375,0.6375,0.0,0.65625,0.70625,0.625,0.60625,0.575,0.6875,0.50625,0.49375,0.6125,0.6375,0.39375,0.38125,0.65625,0.65,0.55625,0.64375,0.71875,0.5249999999999999,0.41874999999999996,0.33125,0.525,0.7875,0.44375,0.64375,0.325,0.54375,0.6875,0.4125,0.6625,0.65,0.55,22.65,8.0
Changchun,0.375,0.53125,0.59375,0.5625,0.65625,0.78125,0.38125,0.4375,0.34375,0.0,0.39375,0.5375,0.5625,0.5375,0.63125,0.35,0.40625,0.33125,0.4,0.21875,0.275,0.275,0.2875,0.25,0.4375,0.3625,0.41875,0.39999999999999997,0.30624999999999997,0.5,0.58125,0.38125,0.5375,0.35625,0.3125,0.5875,0.35,0.40625,0.55,0.4375,17.043750000000003,31.0
Harbin,0.3500000000000001,0.56875,0.66875,0.5687500000000001,0.59375,0.75625,0.33125000000000004,0.66875,0.29374999999999996,0.60625,0.0,0.60625,0.7,0.6125,0.675,0.45,0.425,0.4125,0.43124999999999997,0.28125,0.34375,0.4125,0.45,0.34375,0.45,0.44375,0.5625,0.34375,0.3125,0.625,0.76875,0.475,0.6312500000000001,0.44999999999999996,0.375,0.5875,0.33125,0.45,0.53125,0.3625,19.25,19.0
Shanghai,0.30625,0.40625,0.53125,0.61875,0.64375,0.74375,0.3125,0.46875,0.375,0.4625,0.39375000000000004,0.0,0.55625,0.5,0.625,0.375,0.4625,0.3625,0.4,0.24375,0.30625,0.3,0.3125,0.3375,0.425,0.41875,0.475,0.3625,0.33125,0.5125,0.6375,0.34375,0.61875,0.375,0.3625,0.6375,0.3125,0.3125,0.51875,0.48750000000000004,17.175,30.0
Nanjing,0.25625,0.48124999999999996,0.5625,0.53125,0.5875,0.55625,0.34375,0.56875,0.39375000000000004,0.4375,0.30000000000000004,0.44375,0.0,0.53125,0.59375,0.24375,0.375,0.26875,0.3625,0.30625,0.325,0.4125,0.36875,0.26874999999999993,0.55,0.43749999999999994,0.475,0.41874999999999996,0.27499999999999997,0.40625,0.56875,0.3125,0.675,0.40624999999999994,0.3875,0.575,0.34375,0.6,0.425,0.33125,16.70625,32.0
Suzhou,0.2875,0.5125,0.5,0.4,0.51875,0.59375,0.4,0.54375,0.42500000000000004,0.4625,0.38749999999999996,0.5,0.46875,0.0,0.7125,0.3125,0.425,0.35000000000000003,0.44999999999999996,0.38125,0.35,0.4125,0.475,0.3,0.51875,0.46874999999999994,0.44375,0.46874999999999994,0.35624999999999996,0.48750000000000004,0.59375,0.375,0.575,0.43749999999999994,0.41875,0.54375,0.39375,0.5125,0.50625,0.39375,17.6625,27.0
Zhenjiang,0.28125,0.29999999999999993,0.40625,0.4,0.45625000000000004,0.55625,0.3687499999999999,0.5125,0.3125,0.36875,0.32499999999999996,0.375,0.40625,0.2875,0.0,0.28125,0.35624999999999996,0.28750000000000003,0.41875,0.29374999999999996,0.26249999999999996,0.35,0.3875,0.24375,0.41875,0.40625,0.35625,0.40625,0.2625,0.43125,0.5,0.3125,0.44999999999999996,0.4375,0.31875,0.5062500000000001,0.39375,0.44375,0.5,0.41875,14.8,36.0
Hangzhou,0.38125,0.68125,0.6875,0.5875,0.68125,0.78125,0.4125000000000001,0.64375,0.49375,0.65,0.55,0.625,0.75625,0.6875,0.71875,0.0,0.575,0.6,0.54375,0.3625,0.425,0.6375,0.58125,0.3375,0.5874999999999999,0.71875,0.56875,0.44999999999999996,0.35624999999999996,0.6499999999999999,0.60625,0.39375,0.6812499999999999,0.43749999999999994,0.45625000000000004,0.64375,0.4125,0.64375,0.6,0.51875,22.125,13.0
Ningbo,0.4375,0.55625,0.5625,0.55625,0.5,0.59375,0.4125,0.58125,0.50625,0.59375,0.575,0.5375,0.625,0.575,0.64375,0.42500000000000004,0.0,0.48125,0.575,0.4875,0.32499999999999996,0.54375,0.5,0.525,0.50625,0.60625,0.6375,0.575,0.35624999999999996,0.49374999999999997,0.60625,0.38125,0.5875,0.49999999999999994,0.48750000000000004,0.66875,0.38125,0.5249999999999999,0.56875,0.5874999999999999,20.5875,15.0
Wenzhou,0.32499999999999996,0.71875,0.6000000000000001,0.65625,0.63125,0.75,0.36250000000000004,0.6000000000000001,0.38749999999999996,0.66875,0.5875,0.6375,0.73125,0.6499999999999999,0.7124999999999999,0.4,0.51875,0.0,0.51875,0.3375,0.30625,0.46249999999999997,0.48124999999999996,0.34375,0.45,0.51875,0.4875,0.5125,0.3625,0.59375,0.65,0.45625,0.69375,0.4125,0.40625,0.6812499999999999,0.29375,0.44999999999999996,0.6375,0.4375,20.43125,16.0
Hefei,0.1875,0.5375000000000001,0.6125,0.54375,0.68125,0.6625,0.3500000000000001,0.5375000000000001,0.36250000000000004,0.6,0.5687500000000001,0.6,0.6375,0.55,0.58125,0.45625000000000004,0.42500000000000004,0.48124999999999996,0.0,0.23124999999999998,0.275,0.58125,0.58125,0.4125,0.475,0.55,0.475,0.35,0.25625,0.5625,0.675,0.44999999999999996,0.6187499999999999,0.3,0.4,0.575,0.26875,0.44375,0.41874999999999996,0.44375,18.71875,23.0
Fuzhou,0.39375000000000004,0.68125,0.69375,0.625,0.7125,0.84375,0.5375000000000001,0.74375,0.60625,0.78125,0.71875,0.75625,0.69375,0.61875,0.70625,0.6375,0.5125,0.6625,0.76875,0.0,0.45625,0.8,0.6375,0.625,0.625,0.79375,0.7,0.45625,0.34375,0.71875,0.825,0.5125,0.7124999999999999,0.5625,0.60625,0.76875,0.48125,0.7124999999999999,0.70625,0.5625,25.3,4.0
Xiamen,0.55,0.71875,0.725,0.6875,0.775,0.78125,0.6000000000000001,0.66875,0.61875,0.725,0.65625,0.69375,0.675,0.65,0.7375,0.575,0.675,0.69375,0.725,0.54375,0.0,0.6812499999999999,0.60625,0.6,0.63125,0.7625,0.71875,0.7125,0.375,0.65625,0.825,0.4875,0.7437499999999999,0.51875,0.6125,0.75625,0.525,0.63125,0.69375,0.78125,25.79375,3.0
Nanchang,0.3375,0.53125,0.58125,0.525,0.68125,0.68125,0.4437500000000001,0.55,0.34375,0.725,0.5875,0.7,0.5875,0.5875,0.65,0.36250000000000004,0.45625000000000004,0.5375000000000001,0.41874999999999996,0.19999999999999996,0.3187500000000001,0.0,0.51875,0.2375,0.4375,0.43124999999999997,0.50625,0.4375,0.25625,0.5125,0.7375,0.45,0.65625,0.36250000000000004,0.40625,0.59375,0.3,0.425,0.5625,0.44375,19.08125,21.0
Jinan,0.25625,0.61875,0.71875,0.61875,0.6875,0.78125,0.3500000000000001,0.6125,0.35,0.7125,0.55,0.6875,0.63125,0.525,0.6125,0.41874999999999996,0.5,0.51875,0.41874999999999996,0.36250000000000004,0.39375000000000004,0.48124999999999996,0.0,0.30625,0.46875,0.50625,0.41874999999999996,0.45625,0.39375,0.5875,0.7,0.425,0.65625,0.43749999999999994,0.49375,0.675,0.41875,0.5562499999999999,0.60625,0.46249999999999997,20.375,17.0
Qingdao,0.30000000000000004,0.775,0.78125,0.61875,0.7375,0.80625,0.4375,0.80625,0.44375,0.75,0.65625,0.6625,0.7312500000000001,0.7,0.75625,0.6625,0.475,0.65625,0.5875,0.375,0.4,0.7625,0.69375,0.0,0.625,0.79375,0.7437499999999999,0.43124999999999997,0.40625,0.6812499999999999,0.7875,0.55,0.78125,0.46249999999999997,0.51875,0.6375,0.38749999999999996,0.7375,0.50625,0.5,24.125,5.0
Zhengzhou,0.26249999999999996,0.46875,0.55,0.5125,0.6000000000000001,0.66875,0.4750000000000001,0.625,0.35624999999999996,0.5625,0.55,0.575,0.44999999999999996,0.48124999999999996,0.58125,0.4125000000000001,0.49375,0.55,0.525,0.375,0.36875,0.5625,0.53125,0.375,0.0,0.60625,0.49374999999999997,0.33749999999999997,0.33749999999999997,0.5874999999999999,0.6125,0.5125,0.65625,0.38749999999999996,0.43125,0.675,0.45,0.44375,0.51875,0.3625,19.325,18.0
Wuhan,0.21875,0.6000000000000001,0.6125,0.45625000000000004,0.6000000000000001,0.64375,0.36250000000000004,0.525,0.28125,0.6375,0.55625,0.58125,0.5625,0.53125,0.59375,0.28125,0.39375000000000004,0.48124999999999996,0.44999999999999996,0.20625000000000004,0.23750000000000004,0.5687500000000001,0.49375,0.20625000000000004,0.39375000000000004,0.0,0.35625,0.35,0.25625,0.5375,0.63125,0.39375,0.56875,0.30625,0.3875,0.56875,0.28125,0.51875,0.44375,0.35625,17.43125,28.0
Changsha,0.30000000000000004,0.6312500000000001,0.6937500000000001,0.54375,0.63125,0.73125,0.32499999999999996,0.75,0.4750000000000001,0.58125,0.4375,0.525,0.525,0.55625,0.64375,0.43125,0.36250000000000004,0.5125,0.525,0.30000000000000004,0.28125,0.49375,0.58125,0.2562500000000001,0.5062500000000001,0.64375,0.0,0.34375,0.3125,0.50625,0.59375,0.45625,0.63125,0.41875,0.4125,0.5,0.33125,0.53125,0.4125,0.4125,19.10625,20.0
Guangzhou,0.40625,0.63125,0.7,0.575,0.61875,0.7625,0.5375000000000001,0.6,0.58125,0.6000000000000001,0.65625,0.6375,0.58125,0.53125,0.59375,0.55,0.42500000000000004,0.48750000000000004,0.65,0.54375,0.2875,0.5625,0.54375,0.5687500000000001,0.6625000000000001,0.65,0.65625,0.0,0.3125,0.6,0.7749999999999999,0.425,0.65625,0.48124999999999996,0.6187499999999999,0.7124999999999999,0.575,0.6375,0.65625,0.5375,22.5875,10.0
Shenzhen,0.5,0.65625,0.7,0.575,0.80625,0.75625,0.6625000000000001,0.6875,0.66875,0.6937500000000001,0.6875,0.66875,0.7250000000000001,0.64375,0.7375,0.64375,0.64375,0.6375,0.74375,0.65625,0.625,0.74375,0.60625,0.59375,0.6625000000000001,0.74375,0.6875,0.6875,0.0,0.6625,0.7375,0.56875,0.7437499999999999,0.60625,0.61875,0.8062499999999999,0.69375,0.75,0.6875,0.6625,26.38125,1.0
Nanning,0.35624999999999996,0.525,0.4375,0.625,0.65,0.64375,0.46875,0.50625,0.475,0.5,0.375,0.48750000000000004,0.59375,0.5125,0.56875,0.3500000000000001,0.5062500000000001,0.40625,0.4375,0.28125,0.34375,0.48750000000000004,0.4125,0.3187500000000001,0.4125000000000001,0.4625,0.49375,0.4,0.3375,0.0,0.56875,0.48124999999999996,0.6875,0.4375,0.3125,0.48124999999999996,0.29374999999999996,0.49374999999999997,0.38125,0.4,17.9125,25.0
Guilin,0.20625000000000004,0.4,0.51875,0.54375,0.5625,0.60625,0.30625,0.4,0.21250000000000002,0.41874999999999996,0.23124999999999996,0.36250000000000004,0.43125,0.40625,0.5,0.39375000000000004,0.39375000000000004,0.35,0.32499999999999996,0.17500000000000004,0.17500000000000004,0.26249999999999996,0.30000000000000004,0.21250000000000002,0.38749999999999996,0.36875,0.40625,0.2250000000000001,0.26249999999999996,0.43125,0.0,0.3125,0.46875,0.34375,0.175,0.51875,0.28125,0.275,0.35624999999999996,0.29375,13.8,39.0
Haikou,0.35624999999999996,0.54375,0.5,0.65,0.7375,0.68125,0.525,0.575,0.55625,0.61875,0.525,0.65625,0.6875,0.625,0.6875,0.60625,0.61875,0.54375,0.55,0.48750000000000004,0.5125,0.55,0.575,0.44999999999999996,0.48750000000000004,0.60625,0.54375,0.575,0.43125,0.51875,0.6875,0.0,0.8,0.5375,0.50625,0.7625,0.55,0.6125,0.60625,0.5562499999999999,22.6,9.0
