City,EnerCon,RD,Loan,TerInd,PubSpa,WatCon,Engle,Unemp,PopDen,GradeII,SolWas,WasWater,ConWas,PubBus,PasInt,SAW,Rank
Beijing,0.8936341659951653,1.0,0.5549203621703788,1.0,0.4662939822426833,0.8495158873273366,0.5177056827820186,1.0,0.8475623273677211,0.3284132841328413,0.8046887375257405,0.5982658959537571,0.5795806614309389,0.15914145907473312,0.1064486850261224,0.5772216061991462,4.0
Tianjin,0.8170829975825948,0.4983351831298558,0.39296807877866624,0.30017408604824675,0.1606379480434068,0.8976543651623097,0.4179389312977099,0.21428571428571416,0.8295696251070995,0.35424354243542433,0.98273404086805,1.0,0.5553714244542115,0.09964412811387903,0.04195011485511587,0.450010444147002,26.0
Shijiazhuang,0.5995165189363417,0.5618201997780243,0.3563214592558323,0.4488933101218601,0.27836238079579084,0.9633151355621764,0.7812765055131469,0.17499999999999993,0.6910983157680303,0.06642066420664207,0.9223823855536194,0.8800578034682079,0.3806470206787233,0.08040480427046262,0.049463553685000085,0.4241898717513433,37.0
Qinhuangdao,0.6599516518936343,0.5582685904550498,0.4589584297138324,0.672469534941557,1.0,0.8119382574777959,0.8791878710771841,0.2607142857142856,0.7056878029490536,0.5904059040590406,0.4455884682401394,0.953179190751445,1.0,0.051712633451957285,0.026324545137279214,0.5263074188129891,6.0
Baoding,0.6518936341659952,0.5671476137624861,0.4134558191791685,0.0,0.13877014140085506,0.9508022489185848,1.0,0.0285714285714286,0.3797720405110415,0.0,0.7814034531918265,0.7511560693641618,0.4555083219252109,0.18616548042704628,0.035299717159510566,0.37886424964271814,39.0
Taiyuan,0.4101531023368252,0.0,0.0,0.5642874906739618,0.20914172969417966,0.8624043022790316,0.8443596268023751,0.2499999999999999,0.6714040059676095,0.4354243542435424,0.2911452558213211,0.5910404624277454,0.5825347647525038,0.06928380782918149,0.04089922961126362,0.33529995230820914,40.0
Hohhot,0.8170829975825948,0.13940066592674805,0.6448351067345186,0.9915443919423031,0.13515291022689913,0.9576219847025356,0.7672815945716709,0.18214285714285708,0.9307473691989064,0.5940959409594095,0.0438777126564233,0.4514450867052021,0.573456300886231,0.1804937722419929,0.07987411514681142,0.44717695942783336,28.0
Shenyang,0.9580983078162773,0.3758046614872364,0.4527460181085188,0.3282765481223577,0.1599802696481421,0.9104046140383818,0.4945928753180662,0.3821428571428571,0.7502990794942311,0.4095940959409594,0.8447647711072391,0.8554913294797688,0.5825347647525038,0.06783807829181496,0.053685651184231784,0.4505183570175186,24.0
Dalian,0.8654311039484287,0.6812430632630411,0.7314453770405128,0.16115394180552114,0.20930614929299576,0.9175538227718948,0.6557994062765055,0.4178571428571427,0.8176304116412325,0.7269372693726938,0.7411690163155393,0.6335260115606934,0.4496721665826069,0.13890124555160144,0.094856066485746,0.49203813251472184,14.0
Changchun,0.8424657534246576,0.28124306326304105,0.4868151477099992,0.08405869186769467,0.11131206839855316,0.9562332385065307,0.8517811704834606,0.12499999999999988,0.9017820943753084,0.5904059040590406,0.9987327736416918,0.7109826589595375,0.5710065566683479,0.09486209964412813,0.04759976247649507,0.45047007070289613,25.0
Harbin,0.9415793714746172,0.4519422863485018,0.541074615028749,0.57125093260383,0.056067083196317063,0.9503629516525016,0.41269083969465664,0.14285714285714268,0.9208293139845376,0.5977859778597786,0.9694281641058132,0.6907514450867049,0.4816629440161394,0.0976423487544484,0.07040214917101173,0.4729881623426987,17.0
Shanghai,0.8340048348106366,0.8384017758046616,0.5706166148965699,0.6786868938075108,0.1044064452482736,0.7910184965405339,0.2960665818490246,0.0,0.5232303381445688,0.7343173431734318,0.9605575795976558,0.7052023121387282,0.5465091144895166,0.08151690391459074,0.04596906725144675,0.46844036877979417,20.0
Nanjing,0.9347300564061242,0.4019977802441732,0.4763069195690965,0.4695349415568268,0.1991121341663926,0.8408999925602881,0.7731658184902459,0.5714285714285713,0.8576661214332648,0.4022140221402214,0.8716933312212894,0.0,0.5263347503422438,0.0899688612099644,0.03504578578088457,0.43291620037029266,31.0
Suzhou,0.953666398066076,0.39467258601553823,0.3819311347564602,0.27605073364834626,0.1670503123972378,0.9288090438553294,0.7229643765903309,0.7785714285714285,0.9094952496789516,0.5461254612546126,0.9477269127197846,0.4104046242774564,0.5825347647525038,0.09219306049822062,0.0140909126423969,0.4694495556654147,18.0
Zhenjiang,0.67767929089444,0.3844617092119867,0.17533540413720172,0.2399900522258145,0.17148964156527455,0.974704980001346,0.6502862595419847,0.7892857142857144,0.8645344645428528,0.5940959409594095,0.9778235387296056,0.4190751445086706,0.5825347647525038,0.07684608540925265,0.0,0.4353080540117422,30.0
Hangzhou,0.8331990330378728,0.4903440621531631,0.6893794197343203,0.5046008455608059,0.13844130220322262,0.9165441476038814,0.7195716709075488,0.8071428571428572,0.8392879611266559,0.5055350553505535,0.8590210676382067,0.8236994219653181,0.5825347647525038,0.1338967971530249,0.0470277657684875,0.5241845717014438,7.0
Ningbo,0.9379532634971798,0.5407325194228635,0.5343995770272949,0.2509326038298932,0.10144689246958237,0.9377721251713792,0.6100508905852419,0.7678571428571427,0.8680734886749232,0.8228782287822878,0.8536353556153969,0.4540462427745664,0.5825347647525038,0.16926156583629895,0.010189159343893405,0.49776090236681164,12.0
Wenzhou,0.8573730862207897,0.5382907880133185,0.5917982948912828,0.3484207908480478,0.1030910884577442,0.807215811867403,0.5072625106022054,0.782142857142857,0.7868097454978301,0.8118081180811808,0.9706953904641218,0.6315028901734103,0.5808775848404064,0.11321174377224197,0.05362867940056568,0.5033540875457878,9.0
Hefei,0.8614020950846093,0.5367369589345172,0.5849249884343399,0.20467545386719732,0.21440315685629732,0.7634667639733729,0.36498091603053423,0.407142857142857,0.6195309394990643,0.2656826568265683,0.8894345002376048,0.6413294797687862,0.5825347647525038,0.14312722419928828,0.07510020522864241,0.43117471647273053,34.0
Fuzhou,0.8130539887187752,0.3811320754716981,0.8805432555680391,0.6284506341706045,0.17823084511673795,0.8170822867548332,0.4256785411365565,0.6,0.8335839809228225,0.8523985239852399,0.9361634722002218,0.8150289017341038,0.5788601484256791,0.1581405693950178,0.08131598960313782,0.5405127900884646,5.0
Xiamen,0.8533440773569703,0.6670366259711432,0.5614962659440883,0.4242725690126835,0.16146004603748765,0.7977248652880763,0.3914864291772687,0.3821428571428571,0.7960587414095782,0.9778597785977858,0.9675273245683512,0.6534682080924856,0.5818142517472441,0.1880560498220641,0.13344842718810718,0.5220579004097068,8.0
Nanchang,0.8327961321514907,0.411764705882353,0.6533276055779524,0.2593882118875902,0.1650772772114437,0.8257938349588512,0.4710029686174725,0.21428571428571416,0.4938796052749834,0.7933579335793358,0.9352130524314906,0.7398843930635838,0.5825347647525038,0.10609430604982203,0.07064403508680547,0.45611093761739546,23.0
Jinan,0.7812248186946011,0.33229744728079913,0.5035688321987971,0.6699825913951754,0.12693193028609018,0.9180391753965188,0.5770250212044106,0.6642857142857141,0.8360824680499218,0.1033210332103321,0.9930302550293046,0.865028901734104,0.5825347647525038,0.10765124555160142,0.05697341143133956,0.4786330878524765,15.0
Qingdao,0.9383561643835616,0.5076581576026638,0.4718789240631814,0.5060930116886347,0.2028937849391648,0.9086793094530392,0.2589588634435961,0.4035714285714284,0.8296355324413875,0.5793357933579336,0.9310945667669888,0.9604046242774564,0.5825347647525038,0.14601868327402134,0.07530009480104803,0.5001865436326223,11.0
Zhengzhou,0.8170829975825948,0.497891231964484,0.7739078712576829,0.4449142004476499,0.1335087142387373,0.8820451413368099,0.5843405428329094,0.975,0.0,0.2066420664206642,0.6320291462062411,0.88121387283237,0.5465091144895166,0.08185053380782918,0.08122125366572734,0.4491405996796926,27.0
Wuhan,0.8573730862207897,0.3837957824639289,0.4520851232568898,0.4207908480477494,0.11723117395593555,0.7052527907775915,0.4707379134860052,0.3392857142857142,0.4626375316305275,0.3616236162361624,0.9795659749722794,0.7976878612716762,0.5825347647525038,0.1182161921708185,0.07648348013605515,0.4313107813215216,33.0
Changsha,0.8130539887187752,0.42796892341842396,0.5012557002180952,0.42551604078587424,0.05113449523183162,0.6522785002958171,0.7494698897370654,0.4464285714285713,0.7369937867358495,0.5350553505535055,0.7703152225566292,0.9942196531791908,0.5825347647525038,0.15269128113879005,0.0640271693553008,0.47452504624465547,16.0
Guangzhou,0.9012892828364222,0.2894561598224195,0.3701011169122992,0.6868938075105697,0.1553765208812891,0.5655102048046367,0.4073897370653097,0.6571428571428571,0.6931913729296609,0.7490774907749077,0.912402977981942,0.9630057803468208,0.4874270480582175,0.1682606761565836,0.10582785536068673,0.49316995509607137,13.0
Shenzhen,0.8734891216760676,0.53496115427303,0.35899808340493017,0.4919174334742602,0.21423873725748108,0.0,0.39678753180661575,0.6571428571428571,0.7221167039142965,0.9926199261992621,0.996990337399018,0.8988439306358381,0.5825347647525038,1.0,0.25566722748605325,0.6146198669302511,1.0
