City,Beijing,Tianjin,Shijiazhuang,Qinhuangdao,Baoding,Taiyuan,Hohhot,Shenyang,Dalian,Changchun,Harbin,Shanghai,Nanjing,Suzhou,Zhenjiang,Hangzhou,Ningbo,Wenzhou,Hefei,Fuzhou,Xiamen,Nanchang,Jinan,Qingdao,Zhengzhou,Wuhan,Changsha,Guangzhou,Shenzhen,Nanning,Guilin,Haikou,Chongqing,Chengdu,Guiyang,Zunyi,Kunming,Xi’an,Lanzhou,Urumqi,RowSum,Rank
Beijing,0.0,0.70625,0.74375,0.5687500000000001,0.70625,0.80625,0.61875,0.7375,0.58125,0.68125,0.70625,0.7,0.74375,0.68125,0.7375,0.65,0.64375,0.70625,0.675,0.6125,0.51875,0.73125,0.76875,0.6375,0.70625,0.7625,0.5875,0.55,0.45,0.73125,0.7625,0.6187499999999999,0.73125,0.5125,0.73125,0.7625,0.675,0.7375,0.70625,0.6125,26.3,1.0
Tianjin,0.29374999999999996,0.0,0.48124999999999996,0.44999999999999996,0.5249999999999999,0.6000000000000001,0.35,0.475,0.35624999999999996,0.5062500000000001,0.43124999999999997,0.43125,0.44999999999999996,0.54375,0.54375,0.38749999999999996,0.475,0.475,0.38125,0.25625,0.35,0.375,0.475,0.2875,0.40625,0.4375,0.35,0.31875,0.3125,0.46875,0.49374999999999997,0.44375,0.59375,0.375,0.31875,0.46875,0.32499999999999996,0.4375,0.4375,0.375,16.4625,34.0
Shijiazhuang,0.25625,0.51875,0.0,0.475,0.49375,0.5875000000000001,0.39999999999999997,0.49375,0.34375,0.5562500000000001,0.51875,0.44999999999999996,0.5,0.59375,0.59375,0.375,0.53125,0.4625,0.4,0.30625,0.36875,0.51875,0.525,0.36875,0.45625,0.43125,0.40625,0.36875,0.39375,0.46875,0.51875,0.43125,0.675,0.3375,0.36875,0.525,0.40625,0.43124999999999997,0.4625,0.39375,17.7125,28.0
Qinhuangdao,0.4312499999999999,0.55,0.525,0.0,0.58125,0.6500000000000001,0.49374999999999997,0.49375,0.4625,0.55,0.45,0.54375,0.5625,0.5,0.68125,0.4375,0.49375,0.43125,0.49375,0.3375,0.43125,0.45625000000000004,0.4625,0.43125,0.55,0.48750000000000004,0.4375,0.43125,0.425,0.58125,0.575,0.43125,0.675,0.43125,0.425,0.525,0.46875000000000006,0.48750000000000004,0.49375,0.45625000000000004,19.33125,19.0
Baoding,0.29374999999999996,0.4750000000000001,0.50625,0.41874999999999996,0.0,0.54375,0.4125,0.475,0.35625,0.5375,0.4375,0.49374999999999997,0.48125,0.50625,0.6,0.44375,0.475,0.475,0.4125,0.31875,0.35,0.40625,0.5375,0.3875,0.43124999999999997,0.4375,0.375,0.40625,0.3125,0.45,0.5,0.44375,0.475,0.4,0.38125,0.4375,0.4125,0.4375,0.4375,0.4125,17.09375,31.0
Taiyuan,0.19374999999999998,0.3999999999999999,0.41249999999999987,0.34999999999999987,0.45625000000000004,0.0,0.30625,0.40625,0.22499999999999998,0.45625000000000004,0.38749999999999996,0.41874999999999996,0.38125,0.44375,0.53125,0.3125,0.4,0.3375,0.28125,0.21875,0.21875,0.33749999999999997,0.4625,0.21875,0.425,0.3,0.21875,0.1875,0.2125,0.375,0.48125,0.34375,0.58125,0.24375,0.3625,0.3375,0.2875,0.3375,0.4,0.33125,13.58125,40.0
Hohhot,0.38125,0.65,0.6000000000000001,0.5062500000000001,0.5875,0.69375,0.0,0.5625,0.48124999999999996,0.625,0.58125,0.66875,0.575,0.6,0.6,0.5375,0.475,0.5625,0.475,0.375,0.375,0.58125,0.59375,0.4125,0.53125,0.5562499999999999,0.4375,0.4375,0.3125,0.56875,0.65,0.5,0.61875,0.45625,0.46875,0.5875,0.475,0.5625,0.55625,0.43124999999999997,20.65,15.0
Shenyang,0.26249999999999996,0.525,0.50625,0.50625,0.525,0.59375,0.4375,0.0,0.3125,0.53125,0.51875,0.45624999999999993,0.48124999999999996,0.54375,0.6,0.32499999999999996,0.5,0.38125,0.4375,0.25625,0.3125,0.49375,0.475,0.43124999999999997,0.40625,0.375,0.4375,0.2875,0.3125,0.46875,0.45624999999999993,0.38125,0.61875,0.36874999999999997,0.36875,0.46249999999999997,0.32499999999999996,0.43125,0.46875,0.36875,16.95,33.0
Dalian,0.41874999999999996,0.64375,0.65625,0.5375,0.64375,0.775,0.51875,0.6875,0.0,0.7125,0.7,0.66875,0.69375,0.6625000000000001,0.6625000000000001,0.5625,0.5625,0.53125,0.5562499999999999,0.5,0.33749999999999997,0.61875,0.625,0.49374999999999997,0.5874999999999999,0.6125,0.5875,0.5,0.36875,0.68125,0.7,0.59375,0.7625,0.51875,0.58125,0.6125,0.475,0.61875,0.61875,0.51875,23.10625,6.0
Changchun,0.31875,0.4937499999999999,0.44374999999999987,0.44999999999999996,0.4625,0.54375,0.375,0.46875,0.2875,0.0,0.43124999999999997,0.5125,0.44999999999999996,0.5375,0.5687500000000001,0.4125,0.40625,0.40625,0.35,0.25625,0.28125,0.45625,0.5,0.2875,0.4,0.46249999999999997,0.40625,0.34375,0.28125,0.44375,0.46249999999999997,0.44375,0.6187499999999999,0.3625,0.34375,0.4625,0.31875,0.38125,0.4625,0.33749999999999997,16.23125,37.0
